release	version	date	kb
1607	10.0.14393.1532	7/18/2017	4025334
1607	10.0.14393.1480	7/11/2017	4025339
1607	10.0.14393.1378	6/27/2017	4022723
1607	10.0.14393.1358	6/13/2017	4022715
1607	10.0.14393.1198	5/9/2017	4019472
1607	10.0.14393.1066	4/11/2017	4015217
1607	10.0.14393.969	3/20/2017	4015438
1607	10.0.14393.953	3/14/2017	4013429
1607	10.0.14393.693	1/10/2017	3213986
1607	10.0.14393.576	12/13/2016	3206632
1607	10.0.14393.479	12/9/2016	3201845
1607	10.0.14393.447	11/8/2016	3200970
1607	10.0.14393.351	10/27/2016	3197954
1607	10.0.14393.321	10/11/2016	3194798
1607	10.0.14393.222	9/29/2016	3194496
1607	10.0.14393.187	9/20/2016	3193494
1607	10.0.14393.187	9/13/2016	3189866
1607	10.0.14393.105	8/31/2016	3176938
1607	10.0.14393.82	8/23/2016	3176934
1607	10.0.14393.51	8/9/2016	3176495
1607	10.0.14393.10	8/2/2016	3176929
1511	10.0.10586.1540	4/10/2018	4093109
1511	10.0.10586.1478	3/13/2018	4088779
1511	10.0.10586.1417	2/13/2018	4074591
1511	10.0.10586.1358	1/18/2018	4075200
1511	10.0.10586.1356	1/3/2018	4056888
1511	10.0.10586.1295	12/12/2017	4053578
1511	10.0.10586.1232	11/14/2017	4048952
1511	10.0.10586.1177	11/2/2017	4052232
1511	10.0.10586.1176	10/10/2017	4041689
1511	10.0.10586.1106	9/12/2017	4038783
1511	10.0.10586.1045	8/8/2017	4034660
1511	10.0.10586.1007	7/11/2017	4025344
1511	10.0.10586.965	6/27/2017	4032693
1511	10.0.10586.962	6/13/2017	4022714
1511	10.0.10586.916	5/9/2017	4019473
1511	10.0.10586.873	4/11/2017	4015219
1511	10.0.10586.839	3/14/2017	4013198
1511	10.0.10586.753	1/10/2017	3210721
1511	10.0.10586.713	12/13/2016	3205386
1511	10.0.10586.679	11/8/2016	3198586
1511	10.0.10586.633	10/11/2016	3192441
1511	10.0.10586.589	9/13/2016	3185614
1511	10.0.10586.545	8/9/2016	3176493
1511	10.0.10586.494	7/12/2016	3172985
1511	10.0.10586.420	6/14/2016	3163018
1511	10.0.10586.318	5/10/2016	3156421
1511	10.0.10586.218	4/12/2016	3147458
1511	10.0.10586.164	3/8/2016	3140768
1511	10.0.10586.122	3/1/2016	3140743
1511	10.0.10586.104	2/9/2016	3135173
1511	10.0.10586.71	1/27/2016	3124262
1511	10.0.10586.63	1/12/2016	3124263
1511	10.0.10586.36	12/17/2015	3124200
1511	10.0.10586.29	12/8/2015	3116900
1511	10.0.10586.17	12/2/2015	3116908
1511	10.0.10586.14	11/24/2015	3120677
1511	10.0.10586.11	11/18/2015	3118754
1511	10.0.10586.3	11/10/2015	3105211
1507	10.0.10240.18158	3/12/2019	4489872
1507	10.0.10240.18135	2/21/2019	4491101
1507	10.0.10240.18132	2/12/2019	4487018
1507	10.0.10240.18094	1/8/2019	4480962
1507	10.0.10240.18064	12/19/2018	4483228
1507	10.0.10240.18063	12/11/2018	4471323
1507	10.0.10240.18036	11/13/2018	4467680
1507	10.0.10240.18005	10/9/2018	4462922
1507	10.0.10240.17976	9/11/2018	4457132
1507	10.0.10240.17946	8/14/2018	4343892
1507	10.0.10240.17918	7/16/2018	4345455
1507	10.0.10240.17914	7/10/2018	4338829
1507	10.0.10240.17889	6/12/2018	4284860
1507	10.0.10240.17861	5/8/2018	4103716
1507	10.0.10240.17831	4/10/2018	4093111
1507	10.0.10240.17797	3/13/2018	4088786
1507	10.0.10240.17770	2/13/2018	4074596
1507	10.0.10240.17741	1/31/2018	4077735
1507	10.0.10240.17741	1/18/2018	4075199
1507	10.0.10240.17738	1/3/2018	4056893
1507	10.0.10240.17709	12/12/2017	4053581
1507	10.0.10240.17673	11/14/2017	4048956
1507	10.0.10240.17643	10/10/2017	4042895
1507	10.0.10240.17609	9/12/2017	4038781
1507	10.0.10240.17533	8/8/2017	4034668
1507	10.0.10240.17488	7/11/2017	4025338
1507	10.0.10240.17446	6/27/2017	4032695
1507	10.0.10240.17443	6/13/2017	4022727
1507	10.0.10240.17394	5/9/2017	4019474
1507	10.0.10240.17354	4/11/2017	4015221
1507	10.0.10240.17319	3/14/2017	4012606
1507	10.0.10240.17236	1/10/2017	3210720
1507	10.0.10240.17202	12/13/2016	3205383
1507	10.0.10240.17190	11/8/2016	3198585
1507	10.0.10240.17146	10/11/2016	3192440
1507	10.0.10240.17113	9/20/2016	3193821
1507	10.0.10240.17113	9/13/2016	3185611
1507	10.0.10240.17071	8/9/2016	3176492
1507	10.0.10240.17024	7/12/2016	3163912
1507	10.0.10240.16942	6/14/2016	3163017
1507	10.0.10240.16854	5/10/2016	3156387
1507	10.0.10240.16771	4/12/2016	3147461
1507	10.0.10240.16725	3/8/2016	3140745
1507	10.0.10240.16683	2/9/2016	3135174
1507	10.0.10240.16644	1/12/2016	3124266
1507	10.0.10240.16601	12/8/2015	3116869
1507	10.0.10240.16590	11/10/2015	3105213
1507	10.0.10240.16566	10/27/2015	3105210
1507	10.0.10240.16549	10/13/2015	3097617
1507	10.0.10240.16520	9/30/2015	3093266
1507	10.0.10240.16487	9/8/2015	3081455
1507	10.0.10240.16463	8/27/2015	3081448
1507	10.0.10240.16445	8/18/2015	3081444
1507	10.0.10240.16433	8/14/2015	3081438
1507	10.0.10240.16430	8/11/2015	3081436
1507	10.0.10240.16413	8/5/2015	3081424
1507	10.0.10240.16405	7/29/2015	3074683
